col1,col2
10.913876,5.501498
10.525088,6.5768843
11.860108,4.839119
10.046943,8.262965
12.630389,4.28476
10.39432,6.0369673
9.928452,7.562004
9.963208,6.5904307
9.754411,5.830804
10.9553175,6.4194894
6.4442873,9.914743
9.978952,5.2438755
9.297682,7.601122
15.049816,9.253854
10.932578,6.39847
12.0381975,6.794559
9.41847,6.808515
9.353257,7.7271433
11.431333,5.467341
12.414697,8.020632
11.413546,5.836837
14.585536,10.088121
9.6651125,8.846247
11.340047,5.821615
11.084216,6.079772
10.232236,5.3678293
9.458523,6.9245725
12.616124,3.7130258
11.904315,5.192388
12.570835,3.7734897
12.946469,3.118309
11.93227,5.150572
11.660173,5.5276623
11.638641,5.3858895
10.89561,7.906198
9.919413,8.557064
10.207508,6.7271037
10.729362,6.4604654
10.709096,6.5526547
11.629639,5.411515
11.34497,5.677242
11.005386,6.363956
10.729273,6.405361
13.01512,4.1062436
9.906004,8.683643
11.427655,5.651474
10.936941,5.4684935
10.871934,6.609458
11.232806,6.114842
11.240669,6.1510434
11.308736,6.1275396
11.051007,6.269121
9.82845,5.495428
11.73506,6.517898
9.937119,8.665072
9.255261,7.6001997
11.381556,5.6948767
10.197186,11.4772
11.093219,6.019366
9.810331,6.2844825
13.030045,4.8334236
10.029672,8.747964
9.933848,8.679185
10.884967,7.9687986
10.007354,8.546234
9.444598,6.845241
9.564682,6.741511
6.327386,9.062498
12.25753,4.0028143
5.4947276,9.313634
9.933102,8.567008
9.323257,7.4610095
10.571204,7.0910406
10.107432,6.6746798
9.723943,7.1099586
9.640146,8.889965
10.112891,6.7192063
11.223099,6.8261757
5.889484,10.515523
9.703084,8.267004
10.303304,8.293306
9.353136,6.1188517
10.1643,7.0500345
9.706369,8.832144
7.8918834,13.844988
9.453162,9.048216
9.238454,7.6005335
9.209672,7.4533653
8.460969,4.4077625
9.519187,8.9674425
10.847388,6.442923
9.274416,7.6419044
10.01351,8.317429
5.5877376,9.036423
9.238778,7.623289
10.630047,5.435533
9.680042,15.087182
12.786625,4.904965
12.677395,3.0720036
11.649197,5.3460703
11.384202,5.6978946
10.624178,6.5003304
9.679093,6.328795
9.854997,8.866994
11.269416,6.058966
11.346266,8.330118
8.909373,9.6539955
8.732416,11.707428
12.492256,2.9690757
10.975508,6.4272175
12.730083,2.8057032
12.55808,2.865517
11.200934,6.0557027
12.539475,3.8178976
11.961417,6.782879
12.270092,5.4622545
11.993325,5.5410857
12.163845,5.0749183
12.592081,3.4131317
11.719389,5.9451065
11.308328,7.693687
9.232388,7.642496
8.732504,11.746284
13.483136,5.5251265
11.376396,5.6972914
12.098104,6.06776
10.682276,11.112262
10.507262,6.6414557
10.022631,8.42371
11.703208,5.3377275
9.823248,6.2601323
8.810875,7.963357
9.718006,5.214362
9.716758,6.980067
9.7381315,8.930321
12.02312,6.6337047
9.247193,6.951089
10.350916,8.223245
9.486852,7.0017
9.645416,6.7866015
9.173762,6.177644
10.980564,6.3773713
9.385416,8.403148
8.939511,9.651712
9.172548,7.6496305
8.913053,9.618762
7.994734,10.607489
8.793415,11.60923
10.5175905,10.2095785
11.708071,5.9205155
13.033631,2.6451657
10.832419,6.5075235
9.808803,8.853397
9.183013,6.916319
11.698684,5.36554
9.294292,7.621703
9.214196,6.4227524
9.725246,7.31584
10.1967745,6.9901032
9.928796,8.802332
12.99119,4.96126
10.004425,6.611673
12.454926,3.9443233
9.214158,6.0967693
9.2270355,7.5895524
9.1934185,8.391118
11.24394,6.543362
11.57728,5.453623
11.96005,5.0161986
12.433342,2.927721
12.303704,3.8562179
11.01625,6.3585196
11.570244,5.659528
11.626205,5.393578
10.948743,6.3402467
13.043475,4.1141114
12.058329,5.2591453
11.822824,5.9370728
10.156665,6.7655673
10.78395,5.821467
9.243758,7.63305
11.031844,6.6945715
11.681296,5.3374834
9.801556,6.0910506
12.246767,6.013072
9.947123,8.624989
11.071422,6.317173
12.339161,6.5280547
10.889531,7.348137
10.089564,5.468177
11.153191,6.5559945
9.870489,5.985439
9.789492,6.709395
11.726478,5.892391
9.984655,7.169012
10.727093,6.0430756
9.838109,5.9976373
9.20869,7.6789384
9.145491,7.6272087
9.511436,10.229437
8.90702,10.149503
11.592623,6.085379
9.387614,7.0026493
9.094453,7.1280684
9.572724,7.223571
7.547026,13.89611
8.765174,11.681572
8.859645,10.03691
8.898533,9.674332
8.916032,9.682137
9.392487,6.86426
9.540249,9.304704
9.196971,7.6637793
11.940442,7.080047
9.297765,10.296165
10.449086,6.7471952
12.551764,3.279701
9.6832695,6.9069495
12.762892,3.485819
8.746589,10.090178
12.020009,5.7664423
9.254574,6.6593857
9.061064,7.273681
10.47676,10.666096
9.544099,5.9212112
9.657981,7.1020103
10.219202,6.431125
9.206467,7.660177
10.424828,8.435786
10.947477,6.5680857
10.607629,6.767385
8.927558,10.239516
13.02149,4.032499
11.603404,6.0651016
11.983202,5.093858
12.736805,3.875863
9.3506365,6.8141503
11.958618,5.237519
12.987733,3.339781
12.359691,5.041036
9.984213,8.959491
12.28749,5.002845
11.089622,6.4520187
10.385079,8.466064
10.901588,5.5304546
11.521458,5.9781313
10.4054985,5.5417776
9.753206,6.6482224
11.052947,6.419497
9.944885,9.319002
9.325914,9.286
10.238295,6.7804675
9.993312,7.1400185
10.873521,8.402776
