col1,col2
54.690113,-14.081804
57.533978,-12.955769
65.31182,-5.903636
59.034435,-13.111312
75.021,7.05672
75.445335,7.40664
75.8321,4.0450788
2.1121666,41.782112
76.4855,0.18801191
45.53386,-2.628423
62.855015,-11.274258
61.805775,-8.341288
70.19725,-4.160407
51.33959,-18.725756
50.860172,-22.471727
56.134396,-14.161865
66.797714,-1.131371
58.472054,-11.262374
70.354675,-6.0077944
56.885647,-11.688221
63.926018,-11.585904
70.557274,-1.5688177
42.757153,33.23741
72.92259,1.1937995
73.34353,1.615967
65.26146,-2.07289
67.03628,-4.36034
64.17718,-5.7986236
67.28004,-4.023234
67.14716,7.7250333
64.75785,-1.6991463
55.489597,-10.726081
61.26602,-8.729474
59.295574,-10.836787
75.9863,2.0736175
70.18553,-2.2488115
68.42448,-4.2411456
74.789375,7.1712766
58.522278,-10.567597
67.27619,6.7724295
54.060253,-14.029193
52.690483,-15.403558
53.643967,-14.907288
54.803448,-16.89978
69.940315,-3.683017
49.547493,-23.882893
53.007626,-14.880539
65.41321,-1.6065878
53.20201,-15.801897
58.229794,-11.004114
54.11285,-20.10027
49.83157,-24.161755
49.757954,-24.0398
50.611378,-21.204622
53.127697,-14.055415
63.737545,-11.408436
66.301155,-1.2280504
56.17763,-7.4702315
54.810337,-17.036102
64.055824,-10.718745
54.9332,-9.884195
41.98743,-15.227449
64.29135,-1.804856
70.15887,-2.7140589
53.718758,-12.0529785
34.84137,-26.59629
63.751404,-11.08431
58.096287,-9.512728
63.570618,-6.7294292
72.19592,0.9095935
66.637,-3.118726
51.06807,-20.119995
46.703663,-27.036253
43.588852,30.265123
52.889126,-18.370672
53.02355,-19.1952
56.24077,-9.796768
45.77465,-26.632885
49.078938,-23.72201
67.216446,7.206978
55.073036,-6.8639817
53.96559,-19.883348
68.83327,0.0816368
47.98298,-23.412086
55.468494,-17.531168
51.23722,-19.813953
65.97265,8.188533
53.03223,-14.174285
51.5831,-16.458828
53.810673,-10.74569
61.164524,2.610003
65.95972,-2.5033104
67.24351,5.7202125
72.85745,1.6194909
53.54961,-11.343178
63.212147,-2.23265
53.4923,-19.407085
61.467915,-1.199251
49.31012,-11.975055
57.41226,-6.9613886
54.242516,-10.295351
72.57271,1.4038597
42.452374,33.42881
